데이터연도,지역,광역시도,제조사,차종,모델명,국비보조금(만원),지방비보조금(만원),총보조금(만원),수집일시
2025,서울특별시,특별시,폴스타오토모티브코리아,일반승용,Polestar 4 Long Range Single Motor,181,15,196,2025-07-13 20:18:16
2025,서울특별시,특별시,폴스타오토모티브코리아,일반승용,Polestar 4 Long Range Dual Motor,141,12,153,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,경·소형,캐스퍼 일렉트릭 항속형 17인치,500,50.4,550.4,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,경·소형,캐스퍼 일렉트릭 항속형 15인치,500,50.4,550.4,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,경·소형,캐스퍼 일렉트릭 기본형 15인치,500,50.4,550.4,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,경·소형,캐스퍼 일렉트릭 크로스 17인치,500,50.4,550.4,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,GV60 스탠다드 2WD 19인치,287,28.8,315.8,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,GV60 스탠다드 AWD 19인치,261,26.4,287.4,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,GV60 스탠다드 AWD 20인치,251,25.2,276.2,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,GV60 퍼포먼스 AWD 21인치,236,24,260,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,Electrified GV70 AWD 20인치,244,25.2,269.2,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,Electrified GV70 AWD 19인치,260,26.4,286.4,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,아이오닉6 스탠다드 2WD 18인치,635,54,689,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,아이오닉6 롱레인지 2WD 18인치,686,58.8,744.8,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,아이오닉6 롱레인지 2WD 20인치,680,58.8,738.8,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,아이오닉6 롱레인지 AWD 18인치,686,58.8,744.8,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,아이오닉6 롱레인지 AWD 20인치,647,55.2,702.2,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,코나 일렉트릭 2WD 스탠다드 17인치,573,45.6,618.6,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 17인치,623,54,677,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 19인치(빌트인 캠),568,48,616,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,아이오닉5 N,232,24,256,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,659,58.8,717.8,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 19인치,656,58.8,714.8,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 20인치,651,58.8,709.8,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 20인치,624,55.2,679.2,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 19인치,650,57.6,707.6,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 N라인 20인치,633,56.4,689.4,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 N라인 20인치,602,52.8,654.8,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,Electrified G80 AWD 19인치(2025),275,27.6,302.6,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,더뉴아이오닉5 2WD 스탠다드 19인치,561,50.4,611.4,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,Electrified GV70 AWD 20인치(2025),250,25.2,275.2,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,Electrified GV70 AWD 19인치(2025),266,26.4,292.4,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 17인치(빌트인 캠),623,54,677,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,아이오닉9 성능형 AWD,277,27.6,304.6,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,아이오닉9 항속형 AWD,276,27.6,303.6,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,아이오닉9 항속형 2WD,279,28.8,307.8,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,GV60 퍼포먼스 AWD 21인치(2025),248,25.2,273.2,2025-07-13 20:18:16
